# unlabeled youtube video segments from the dcase dataset, reformated like google_audioset_meta
# 10 classes: /m/07pp_mv, /m/09x0r, /m/0bt9lr, /m/01yrx, /m/04brg2, /m/0dxrf, /m/04fgwm, /m/0d31p, /m/02pjr4, /m/0838f
# YTID, start_seconds, end_seconds
04sf3v7xOzo, 5.000, 15.000
05SbeMRf55o, 30.000, 40.000
05pgKzVdOxA, 30.000, 40.000
06seVx9COw8, 3.000, 13.000
07RqWEmSIzA, 30.000, 40.000
07_DscDjfI8, 3.000, 13.000
094whcoGFU8, 90.000, 100.000
09Gyz1iydxE, 30.000, 40.000
0Ahw0J1vneo, 21.000, 31.000
0BX5PY3LVTQ, 25.000, 35.000
0ByuuORDNKM, 30.000, 40.000
0CNTKC8MfFY, 6.000, 16.000
0D7iZ434a-E, 70.000, 80.000
0D7jjB-PsaU, 30.000, 40.000
0DX11ZZ4mUw, 30.000, 40.000
0Fym_Eo51p0, 15.000, 25.000
0GQxZAB0-KM, 30.000, 40.000
0GjsRx09Uns, 30.000, 40.000
0GnvsN_8_Sk, 3.000, 13.000
0H7BcqrunCw, 24.000, 34.000
0HO7H9imzME, 30.000, 40.000
0Hswwzo6W9E, 20.000, 30.000
0II90bCBJss, 20.000, 30.000
0JBwMNEkT_Q, 30.000, 40.000
0JNJup0MbiM, 0.000, 10.000
0JjBqqqpFQc, 0.000, 10.000
0KAv-2fHagU, 30.000, 40.000
0KpBwr4IzrM, 30.000, 40.000
0LR7nanckQY, 30.000, 40.000
0LvT0CnBxJg, 30.000, 40.000
0MHfdg144v0, 130.000, 140.000
0N1kcuX-OzU, 0.000, 10.000
0NV_lqGSV2s, 30.000, 40.000
0Nyh-LqZ7T0, 15.000, 25.000
0ON-X_-90OU, 30.000, 40.000
0Ocu0TjxjsQ, 30.000, 40.000
0On6-JiVwRs, 100.000, 110.000
0PSJsmQ9jVw, 30.000, 40.000
0QIkybGAzVk, 13.000, 23.000
0RHanEAYBlg, 60.000, 70.000
0RPNAluapOc, 30.000, 40.000
0RaejfgKs_A, 28.000, 38.000
0SRIpmzsJqA, 5.000, 15.000
0SvCgEqeFaQ, 30.000, 40.000
0SyV6B-5WUk, 30.000, 40.000
0UFvA1tevQ8, 20.000, 30.000
0UGnOcN0Ln8, 30.000, 40.000
0UIl1_s6pfk, 24.000, 34.000
0UyKDRAMwQY, 30.000, 40.000
0WLZoOhg4LE, 110.000, 120.000
0X5yGzLr7YA, 30.000, 40.000
0XBpP1gexGY, 30.000, 40.000
0ZZ_wdnsc10, 30.000, 40.000
0ZyO42c3QEE, 210.000, 220.000
0_df4aMkh5Q, 3.000, 13.000
0_kuKQlFKZg, 0.000, 10.000
0_wNP0Jy_yU, 18.000, 28.000
0bLHj36U5UY, 280.000, 290.000
0cGd9As36aQ, 30.000, 40.000
0cLM26AotU4, 250.000, 260.000
0c_XVbMipA4, 30.000, 40.000
0cdArgIWNNE, 26.000, 36.000
0cguhnd2XWM, 30.000, 40.000
0d5HOSctqDw, 0.000, 8.000
0fbZ0tskFjw, 30.000, 40.000
0g1DCi18pZA, 30.000, 40.000
0gbDQgRMlR4, 30.000, 40.000
0hH10rnwBuI, 0.000, 8.000
0iaK9Evi2_U, 30.000, 40.000
0jUB4IqNZgM, 20.000, 30.000
0jmGKhoUs8M, 30.000, 40.000
0kMfJynbQg8, 18.000, 28.000
0kN-0Fd438w, 30.000, 40.000
0kY6vhTc4yE, 220.000, 230.000
0lCzVYeJ8VY, 230.000, 240.000
0lFyoYjKqgA, 30.000, 40.000
0mPGogIwkhk, 30.000, 40.000
0ndf97s8KU8, 0.000, 10.000
0nqVe_y7Ckk, 10.000, 20.000
0ohDaDAgMC8, 27.000, 37.000
0pwGyKKQRPU, 30.000, 40.000
0qzvvMd5dvo, 30.000, 40.000
0tJBwSNGP5s, 6.000, 16.000
0tVL3VFW5Zs, 24.000, 34.000
0vVNGBXM7B0, 30.000, 40.000
0wIzA4IT9pk, 150.000, 160.000
0wJHJ0EXe58, 13.000, 23.000
0xOa3cWQRX4, 21.000, 31.000
0y69IaalTjY, 10.000, 20.000
0ylf1enGlGw, 30.000, 40.000
1-0o3G-FJeE, 5.000, 15.000
1-Zkx_iY68k, 30.000, 40.000
1-zh8HsAcyQ, 16.000, 26.000
10GZycmQEeI, 2.000, 12.000
10tzumfAYeA, 40.000, 50.000
11qcdPN80x8, 0.000, 7.000
124hJJdkPes, 22.000, 32.000
12DVEOpqaBs, 80.000, 90.000
13QUBj_VlIc, 25.000, 35.000
13cudahVThg, 30.000, 40.000
141v5oRfUHM, 27.000, 37.000
15svFbs6mg8, 14.000, 24.000
16PXUIj27kk, 20.000, 30.000
16qY5bRnCIA, 30.000, 40.000
17-883FJ9CQ, 30.000, 40.000
17yb2wrvWms, 30.000, 40.000
19M11q5hHkU, 0.000, 10.000
1ADX6EHNThE, 30.000, 40.000
1A_NgC9c1Cc, 4.000, 14.000
1AcBDrv3bcE, 21.000, 31.000
1C3mR6V1goA, 30.000, 40.000
1ChE5QHG81o, 0.000, 7.000
1GjLpNKmkRo, 30.000, 40.000
1GnoBUjEplE, 30.000, 40.000
1HfKtuB1-XA, 40.000, 50.000
1HuBawOzYb0, 120.000, 130.000
1IeeK2ekATc, 40.000, 50.000
1IjQok7rlEo, 30.000, 40.000
1JQnaf1JdWU, 5.000, 15.000
1KCqn-RZ8-s, 11.000, 21.000
1LpeTa8ZMtI, 0.000, 8.000
1Mr9Xf87sA8, 12.000, 22.000
1NsiUxiCswM, 70.000, 80.000
1OIm8vLHCwo, 19.000, 29.000
1OhGRN9OzdM, 19.000, 29.000
1Os_nVaJKaA, 30.000, 40.000
1P02r1Jq1mI, 25.000, 35.000
1S7ZiKYPu4Q, 30.000, 40.000
1SsyJvXcZrY, 30.000, 40.000
1T0iOEd4sy0, 30.000, 40.000
1U0N-5o2Moc, 30.000, 40.000
1ULogjMYnIY, 10.000, 20.000
1UqxJisaXrk, 30.000, 40.000
1Uw0xB_h3MY, 100.000, 110.000
1VVr6_KQGwc, 30.000, 40.000
1XMVyJIHSEQ, 30.000, 40.000
1Y1nlkz_mpg, 14.000, 24.000
1Y8s8E-Wroc, 20.000, 30.000
1Y9FIaY-z6E, 4.000, 14.000
1ZAytppeRPE, 0.000, 10.000
1ZHIoV0ybVU, 8.000, 18.000
1ZSnoZxTHAo, 30.000, 40.000
1ZWnRCTC1tg, 30.000, 40.000
1ZuvoUltng8, 20.000, 30.000
1_xewpKYwbM, 5.000, 15.000
1bh4cHQhkqk, 27.000, 37.000
1boEv2FuA8Y, 300.000, 310.000
1bvRkyT2Q5I, 29.000, 39.000
1cmL8faF7W8, 30.000, 40.000
1cwBAUf9dNQ, 7.000, 17.000
1d7B0qiIadE, 25.000, 35.000
1dsqWCnGqpQ, 30.000, 40.000
1f82bzuOZL8, 30.000, 40.000
1fkc82C3ri0, 21.000, 31.000
1gOpSK9iZcM, 4.000, 14.000
1hAr0kYvhuY, 30.000, 40.000
1j207risRvM, 24.000, 34.000
1jEP9Iry4qE, 30.000, 40.000
1juK_MSbAfQ, 3.000, 13.000
1kaCmk7yXxk, 30.000, 40.000
1kxnTHW60PQ, 30.000, 40.000
1lCQwOeOuco, 0.000, 10.000
1lOmVBa-aj8, 60.000, 70.000
1leM1Pa4tQM, 14.000, 24.000
1mCEzdPC8xQ, 360.000, 370.000
1mhCQZsX87I, 30.000, 40.000
1nFEwGr7Kys, 80.000, 90.000
1ntQTwKIELA, 30.000, 40.000
1qj-T_zeg2g, 30.000, 40.000
1rPv2-OZLK4, 16.000, 26.000
1rurDIQEr3Q, 0.000, 10.000
1sIRkbmhr58, 20.000, 30.000
1sakyqnaTOs, 30.000, 40.000
1u1SvarddN4, 30.000, 40.000
1unIhIQ8N4o, 110.000, 120.000
1uz3SWbTfqY, 6.000, 16.000
1v4puiTI1io, 29.000, 39.000
1wZgXIocLN8, 30.000, 40.000
1x0J9Z8et6g, 0.000, 4.000
1xhoenaaFJk, 60.000, 70.000
1y10mtbYQP8, 30.000, 40.000
1yADGwQBDrE, 30.000, 40.000
1ySWMaR5x2w, 30.000, 40.000
2-2R9mLqrBI, 30.000, 40.000
20VFj9M27cA, 30.000, 40.000
20Z5uo66ycI, 30.000, 40.000
21BvTJmywiU, 5.000, 15.000
21FtyAydh3Y, 2.000, 12.000
21HAQ4JzVEQ, 40.000, 50.000
22GrcDsiAwk, 10.000, 20.000
22Hfabb4hrY, 180.000, 190.000
22t78dtnqFI, 30.000, 40.000
24Ncp-W-tGI, 30.000, 40.000
25Poj_2wBlM, 30.000, 40.000
29-VHfXrz7E, 30.000, 40.000
293XDl1uQ_s, 30.000, 40.000
2AnrNYnD--8, 30.000, 40.000
2Awp9Nvsb2A, 30.000, 40.000
2BI0r9Ow4d0, 30.000, 40.000
2CT42EaIcm4, 30.000, 40.000
2CTOzEr5JGo, 30.000, 40.000
2DfZ21h3rM4, 3.000, 13.000
2Em-lAD3KxM, 30.000, 40.000
2EwfFNiNb6Y, 80.000, 90.000
2FLWHYDMedQ, 30.000, 40.000
2FZRNzNXEts, 3.000, 13.000
2GWMlHldEUU, 30.000, 40.000
2HGTdCx89Cg, 30.000, 40.000
2HNxLN59O5Y, 30.000, 40.000
2HrOE3MhR6Q, 30.000, 40.000
2Hz5syR14dI, 30.000, 40.000
2JJ0FOi4b-s, 30.000, 40.000
2JLMqTx1Z84, 10.000, 20.000
2JgHbC7yyTU, 0.000, 10.000
2KGTERnDDMs, 7.000, 17.000
2KYja87NllQ, 9.000, 19.000
2LBZBTB4K2w, 0.000, 10.000
2LIvLv3Jll0, 30.000, 40.000
2LdBI9c3sH4, 30.000, 40.000
2LuiJZkETGM, 25.000, 35.000
2MUGURqhNhw, 30.000, 40.000
2NAEnseyunE, 13.000, 23.000
2Og2AI0y9Ok, 30.000, 40.000
2P4zD8jYlw8, 20.000, 30.000
2QRymqaxFtY, 30.000, 40.000
2QsdKVHn21M, 40.000, 50.000
2RFi80phmWU, 29.000, 39.000
2TGTLMkOXkg, 30.000, 40.000
2U5ul4Dt-s8, 24.000, 34.000
2WCDcGxIRbs, 0.000, 6.000
2WQfzHMdCPQ, 30.000, 40.000
2WjZeqjV-dc, 30.000, 40.000
2YTv_9Xj6pQ, 30.000, 40.000
2_OpvBn-Lls, 19.000, 29.000
2_vFQHZRsK0, 20.000, 30.000
2aCkZugaPMo, 30.000, 40.000
2bYkSWdnZJo, 30.000, 40.000
2d-xAzl7wiQ, 30.000, 40.000
2d4zAYqxd7M, 30.000, 40.000
2dhWgLboGME, 3.000, 13.000
2eGseKxcxpc, 10.000, 20.000
2fP7NetEZ74, 18.000, 28.000
2fPo0PdYlb8, 5.000, 15.000
2fXs7pmn8e4, 30.000, 40.000
2fZ_vuagNtA, 30.000, 40.000
2gJAPUUu7zE, 30.000, 40.000
2gVQzenkGvk, 30.000, 40.000
2icLwF3WjlE, 30.000, 40.000
2jC1uZL1s4E, 30.000, 40.000
2jFRICR24-Q, 29.000, 39.000
2jk1QMe_-pY, 20.000, 30.000
2kNgKBYd41U, 30.000, 40.000
2kOOgrG6LH0, 30.000, 40.000
2kYlS4gSrGg, 1.000, 11.000
2k_PMtUzetw, 30.000, 40.000
2m92xdyZt50, 30.000, 40.000
2mHHDwuCTkw, 30.000, 40.000
2mKqJZETUOI, 30.000, 40.000
2noBxxKAKj4, 30.000, 40.000
2nudafav0P4, 110.000, 120.000
2oloIcQmY4w, 30.000, 40.000
2osV5euESQ0, 0.000, 8.000
2pB1AJe7Wtk, 10.000, 20.000
2r-gZ8NKe9E, 30.000, 40.000
2tP5a_zb5sc, 20.000, 30.000
2tdHHT0wNV0, 30.000, 40.000
2uGbFvIrm5A, 21.000, 31.000
2uSGyPty86Q, 30.000, 40.000
2vBbpFbRHmk, 27.000, 37.000
2wQkPf2LMXE, 27.000, 37.000
2wukzaZQsZI, 30.000, 40.000
2xcwZUoR_sU, 50.000, 60.000
2yRlkPqa6rQ, 20.000, 30.000
2zStp4n5Ego, 30.000, 40.000
3-HTO6MSe-U, 30.000, 40.000
30D1aU785Gg, 30.000, 40.000
30QYplQTOHI, 30.000, 40.000
30wxUChLbi0, 30.000, 40.000
35l-Ty6PNR8, 19.000, 29.000
387t960yVs8, 30.000, 40.000
38kymHaGptA, 19.000, 29.000
39KVJLGAFv4, 30.000, 40.000
39n_F2hIqIY, 2.000, 12.000
3A4FR6lNsHk, 30.000, 40.000
3A8uqpeSQ-A, 30.000, 40.000
3BOyWRFMfEo, 20.000, 30.000
3CGg9LCt4KU, 30.000, 40.000
3CvJhpMHLTQ, 10.000, 20.000
3DLDsR5AN6Y, 3.000, 13.000
3DOIkBRXnt4, 3.000, 13.000
3DZOD7ziIh0, 5.000, 15.000
3ErID1J8Uec, 9.000, 19.000
3GB6244ctmI, 0.000, 10.000
3ID149JSVkU, 29.000, 39.000
3IEwhphbD_M, 14.000, 24.000
3IhTrwplVXc, 12.000, 22.000
3JxWLsgWHu8, 30.000, 40.000
3KDtFq09ivA, 30.000, 40.000
3KOi-KSXvnc, 3.000, 13.000
3KdlTPIqOpk, 12.000, 22.000
3LNBHccBwcs, 20.000, 30.000
3Oe92RHfMac, 30.000, 40.000
3OgmNR1UCgM, 25.000, 35.000
3RWQKLJAzPE, 30.000, 40.000
3RzLSdWDC-Y, 90.000, 100.000
3S8bTR5VAp0, 30.000, 40.000
3SBXJVCtomo, 20.000, 30.000
3SFyl_obsok, 20.000, 30.000
3T5YSyK1T7s, 21.000, 31.000
3U3QoxuyJfk, 0.000, 10.000
3UFGY-U_1jc, 12.000, 22.000
3Ua6dSOYM2w, 14.000, 24.000
3UjD8ncozAA, 30.000, 40.000
3UxdPI21_8o, 30.000, 40.000
3WgJuCTqHCM, 30.000, 40.000
3WpR3jbKDgY, 21.000, 31.000
3YXHOu9WJyM, 0.000, 10.000
3Yiskwwoo-g, 4.000, 14.000
3ZiLWs1_pHU, 150.000, 160.000
3Zts_lplADg, 0.000, 7.000
3_c3P8G8nns, 23.000, 33.000
3_tjKAwIm4E, 9.000, 19.000
3aLSD8o2CF0, 30.000, 40.000
3a_afMYgSZE, 14.000, 24.000
3btW_uemBno, 30.000, 40.000
3dE-ozAOeng, 23.000, 33.000
3daSrt5mRTM, 10.000, 20.000
3dkigqIRVJs, 6.000, 16.000
3e8bEKxlr_A, 30.000, 40.000
3eC4QAeLV6s, 13.000, 23.000
3eKmNzQlO5o, 28.000, 38.000
3eMPh-FpkNE, 30.000, 40.000
3f-cNS7NZWY, 30.000, 40.000
3fCzlbToTMQ, 30.000, 40.000
3fZHwuDPbJ8, 0.000, 10.000
3fjNCHK77ag, 30.000, 40.000
3fl1owN5BVc, 17.000, 27.000
3flBpZSeJWE, 30.000, 40.000
3g5R9BuN1HI, 0.000, 10.000
3i-aIAJuobg, 30.000, 40.000
3jzigbp8vfQ, 10.000, 20.000
3k1lkB2giU0, 15.000, 25.000
3kg_DR1rkPM, 30.000, 40.000
3kulVycV5iM, 30.000, 40.000
3lLmEplV3eY, 20.000, 30.000
3m6ZQSdHBqM, 19.000, 29.000
3nAKWVW2qhE, 9.000, 19.000
3ogi8EsRHM8, 30.000, 40.000
3pnNrHelAmY, 30.000, 40.000
3q64M3tPiiU, 30.000, 40.000
3qKqRNiRt3g, 0.000, 7.000
3rWL8Az5iIU, 0.000, 9.000
3rmbVWTJs6U, 16.000, 26.000
3sUGapQGQWk, 0.000, 10.000
3smTux_lp8o, 8.000, 18.000
3su6_Zh-U3E, 29.000, 39.000
3tIg2LG92Tw, 0.000, 10.000
3tXUHwpsjOw, 40.000, 50.000
3vAIsKPssC4, 150.000, 160.000
3vWYXl3ZSE0, 18.000, 28.000
3x6IGpZ8uDk, 20.000, 30.000
3xLintYp7PY, 12.000, 22.000
3xzWES6Q0hY, 2.000, 12.000
3y9gG3G22rM, 3.000, 13.000
3z9kXizz1iQ, 15.000, 25.000
4-bBAn6mTws, 11.000, 21.000
414-QkeLHU4, 30.000, 40.000
428We2O7PkU, 30.000, 40.000
43M9lSSjGKk, 10.000, 20.000
43SyKP6oxZU, 30.000, 40.000
45KEHJraS_I, 30.000, 40.000
46-cMyxT3cg, 30.000, 40.000
466ucPGoNSQ, 29.000, 39.000
46OeASFBkDk, 0.000, 10.000
46nTXBhP9kY, 30.000, 40.000
4720VXHoWLM, 17.000, 27.000
47BbFROLM9w, 3.000, 13.000
47oHinrJhJU, 1.000, 11.000
47xQ6t6fkcw, 50.000, 60.000
47y-glbQmfQ, 30.000, 40.000
499GOZcUWO4, 2.000, 12.000
49c_ZAXGdzM, 30.000, 40.000
4Aks20CZBYE, 30.000, 40.000
4BOlA09pdLQ, 24.000, 34.000
4BZ0TPmuX_Q, 30.000, 40.000
4BiRz0mkjjo, 30.000, 40.000
4CWDa7F9yS4, 30.000, 40.000
4CYB1Ei58sI, 30.000, 40.000
4EMtBKb84kM, 30.000, 40.000
4GfN0gZQvXs, 30.000, 40.000
4Gmr1trzOic, 23.000, 33.000
4JGCpL2kb68, 30.000, 40.000
4J_hSJtHwn4, 4.000, 14.000
4KXFNI_UQDs, 6.000, 16.000
4Kb1NSslI9o, 0.000, 10.000
4MWgLnJzF1o, 30.000, 40.000
4OP4FH04PmY, 7.000, 17.000
4PRB4mbNHWw, 13.000, 23.000
4Qw3ME4dznc, 30.000, 40.000
4QyT9Fm8gS8, 20.000, 30.000
4R07AUf2_x4, 30.000, 40.000
4Ri8wOYyA5c, 40.000, 50.000
4S8uT5uNYmM, 2.000, 12.000
4SMqcGnhQKU, 30.000, 40.000
4U6FYa_VBbY, 8.000, 18.000
4UbU5rEumW0, 30.000, 40.000
4V0keQOlnH8, 40.000, 50.000
4WkCDfxey-U, 30.000, 40.000
4XPkRuTOB28, 0.000, 10.000
4XZ499Rf2nM, 30.000, 40.000
4XbXhTZtfwg, 40.000, 50.000
4Xqnx2nDpJE, 60.000, 70.000
4YUp45FEi5U, 30.000, 40.000
4Z2sZRhG5qU, 30.000, 40.000
4Z7RTdI6Yuo, 4.000, 14.000
4ZBoI0kQmY0, 30.000, 40.000
4Zcfo6EtDww, 30.000, 40.000
4_bKiFo_znw, 30.000, 40.000
4_xMLEQztQ8, 30.000, 40.000
4aF2S8e9bts, 30.000, 40.000
4aKcrDljKlc, 30.000, 40.000
4aejRI-PHdg, 30.000, 40.000
4d2P0xXvrVA, 27.000, 37.000
4dfUiPfo9jk, 20.000, 30.000
4eCIbc4sJVI, 30.000, 40.000
4eT3-AMqr3o, 30.000, 40.000
4g8onQ5PQlY, 30.000, 40.000
4hai8G68k50, 30.000, 40.000
4inwWVH8PRU, 13.000, 23.000
4jWllOiVygA, 30.000, 40.000
4kYst2YDiUo, 30.000, 40.000
4kaM8FO0tX0, 18.000, 28.000
4ksEvXq-i7w, 110.000, 120.000
4lBcgIkI1Nk, 28.000, 38.000
4lPLQzBT84E, 30.000, 40.000
4mZrgKdU1aM, 30.000, 40.000
4nF9y-TFcnE, 0.000, 5.000
4nGBQ1iyS-M, 30.000, 40.000
4nHiL-wA83U, 30.000, 40.000
4ocp6fVfsLQ, 30.000, 40.000
4pIp7MMNTeE, 30.000, 40.000
4qHwbBkxbGI, 30.000, 40.000
4qakHPicLeM, 30.000, 40.000
4qcVpJv_aIw, 0.000, 9.000
4r06TZ6uI6k, 30.000, 40.000
4r7Lea8y-VU, 30.000, 40.000
4s22LBX570A, 18.000, 28.000
4sUECwj3Lu0, 30.000, 40.000
4sVuOCax7wI, 30.000, 40.000
4uK2iKEBS50, 30.000, 40.000
4vSCafZpEQQ, 15.000, 25.000
4vUA9EuRS28, 0.000, 10.000
4w16MdaZQpU, 19.000, 29.000
4wphn_vWk94, 30.000, 40.000
4x15kpXx2VA, 29.000, 39.000
4xDPeTIMoJs, 21.000, 31.000
4xvE2qqUIIc, 24.000, 34.000
4y5wsrXb2xI, 21.000, 31.000
4yZ5QO3RZzw, 7.000, 17.000
5-4YCKp_BbM, 6.000, 16.000
5-4pJcg-N6s, 30.000, 40.000
5-77GQ1Ts2k, 30.000, 40.000
5-VdQ476qJ8, 30.000, 40.000
5-oV-iWxNag, 30.000, 40.000
50De20Tk-f8, 30.000, 40.000
50ZaLqiJgLU, 30.000, 40.000
51I8U2iWrpM, 30.000, 40.000
51RBCXSHtyg, 30.000, 40.000
51stpU5RwRU, 3.000, 13.000
52Pr5Bm3RUQ, 6.000, 16.000
52aEx-HSrgs, 0.000, 8.000
530VNVkbvsw, 30.000, 40.000
53B4zcaZFBE, 20.000, 30.000
53hhz2XIHLc, 160.000, 170.000
543g5ubvyh4, 10.000, 20.000
5477eUgz9u4, 0.000, 7.000
54Br5mQ8idE, 30.000, 40.000
54ZwjPVQ4SU, 8.000, 18.000
55LL-6jcpcQ, 180.000, 190.000
55Q5nD-vWRc, 30.000, 40.000
56DgpuRPvIU, 30.000, 40.000
56HleLMsynY, 30.000, 40.000
56Z-tWiIK7g, 30.000, 40.000
56pKpmMatJA, 10.000, 20.000
56vS1YziWd8, 30.000, 40.000
57EaIi3xB-8, 3.000, 13.000
57x4T3XZqPg, 21.000, 31.000
5AXA7_vyjnA, 3.000, 13.000
5BlQ3fxGhWY, 0.000, 7.000
5C2QIcCAWKA, 50.000, 60.000
5CS8azBBUDc, 30.000, 40.000
5CVI9p6nNuQ, 30.000, 40.000
5Ct0Emq8j8A, 13.000, 23.000
5Di4ovLsdJM, 30.000, 40.000
5Dm9SR0CK8Y, 70.000, 80.000
5DoTfoddEu8, 140.000, 150.000
5DzDmzJs9eg, 10.000, 20.000
5ERtrFMNAx8, 30.000, 40.000
5EZCrjbHy0o, 4.000, 14.000
5EhOMFdPBG8, 80.000, 90.000
5FoC4i8ZbfQ, 30.000, 40.000
5H5Bx1ugaR8, 0.000, 10.000
5HsFj8g-ChM, 0.000, 10.000
5IM-GZ9Oa4U, 30.000, 40.000
5IhpI5YAeOA, 30.000, 40.000
5JYXEC7tq2k, 30.000, 40.000
5LD_BdR5pa8, 0.000, 6.000
5LEW_H__nmA, 18.000, 28.000
5M5TrT9Elpc, 30.000, 40.000
5MSE1-YlVfc, 30.000, 40.000
5NJR62dzyT0, 30.000, 40.000
5Nr7ZX2MiUU, 30.000, 40.000
5OX7vWxi2RI, 30.000, 40.000
5Ohd_cArE8A, 18.000, 28.000
5Oxcl3P2Csc, 13.000, 23.000
5RSEXD89PkE, 1.000, 11.000
5RSiNj3FdLE, 10.000, 20.000
5RX76Hw5at4, 30.000, 40.000
5Rhq0qtlCg4, 1.000, 11.000
5SYDLTlTj-g, 8.000, 18.000
5TiGP89UErY, 8.000, 18.000
5U_SfMUMdgE, 30.000, 40.000
5Vbj1hMG1eo, 12.000, 22.000
5WUfCuEV4uo, 120.000, 130.000
5XOmacQui6Q, 30.000, 40.000
5XY_Vx5dO4Y, 30.000, 40.000
5XeeMWR4q7Y, 30.000, 40.000
5XnjpgURugA, 30.000, 40.000
5Yu0qF8iwhA, 30.000, 40.000
5ZRdc9DgtBA, 20.000, 30.000
5ZWbwihwLkw, 50.000, 60.000
5ZdyFCC8fWs, 30.000, 40.000
5ZoMHuNvMp4, 21.000, 31.000
5_5hcTfId2g, 0.000, 6.000
5_ASkDO567Q, 12.000, 22.000
5aA1-3lnJqk, 19.000, 29.000
5aEHdWWqs4Q, 30.000, 40.000
5aZQw-RZjnA, 12.000, 22.000
5a_qYZlgIS0, 3.000, 13.000
5abeJmVq3hU, 120.000, 130.000
5b04Vp0loTM, 30.000, 40.000
5b9hJxr17Ow, 21.000, 31.000
5bCDUoviBys, 14.000, 24.000
5bf0JVLSIbY, 30.000, 40.000
5bqh1k1u7U8, 30.000, 40.000
5cQuJjmPg0Q, 9.000, 19.000
5cWOyow_Drs, 30.000, 40.000
5cY9GTvysaw, 14.000, 24.000
5cpbAOWqMfg, 30.000, 40.000
5dEWjIBVYLo, 30.000, 40.000
5dQ8t0fQmf4, 30.000, 40.000
5day34Uu52w, 30.000, 40.000
5dk12GG2pA0, 30.000, 40.000
5dxlYi71M6M, 30.000, 40.000
5fRe5Fmn09o, 0.000, 7.000
5gr_15_Huzg, 30.000, 40.000
5gzsKaGvtyg, 0.000, 5.000
5hQd5YuxhY8, 30.000, 40.000
5i8wLWPTNqE, 260.000, 270.000
5imWGr9yI9k, 10.000, 20.000
5jQeLD_b01A, 30.000, 40.000
5jwZvDC_L8k, 30.000, 40.000
5kBiaQEDdW8, 3.000, 13.000
5lBCuMwMrXw, 30.000, 40.000
5mSmtv4bGiQ, 13.000, 23.000
5nnOibg6nYc, 30.000, 40.000
5otkLdHAj9M, 0.000, 10.000
5p1ehgaWFhY, 10.000, 20.000
5pncSb7fxEQ, 30.000, 40.000
5qcEONb4qBg, 10.000, 20.000
5r-P4IvNUV4, 22.000, 32.000
5r09BE9Dk0o, 6.000, 16.000
5r_lohA1GFk, 0.000, 10.000
5rxIoYSJYk4, 0.000, 9.000
5sn9E3cWB3Y, 22.000, 32.000
5tO4UUbgm-8, 30.000, 40.000
5tmTjkM-waI, 9.000, 19.000
5tuNvLjo1ko, 20.000, 30.000
5uB278MwLec, 30.000, 40.000
5utA9pTbb3w, 19.000, 29.000
5vL0s-y1XUQ, 30.000, 40.000
5vMPrcpcHC4, 160.000, 170.000
5vlrGi8K7OU, 30.000, 40.000
5wBROqCRBhI, 60.000, 70.000
5wScdWqlS0c, 30.000, 40.000
5wba6K0ksp4, 12.000, 22.000
5ww9Fjpvxy4, 13.000, 23.000
5yb4uWiqzDU, 100.000, 110.000
6-l-B1myf7o, 30.000, 40.000
6-tqMSNhbrs, 2.000, 12.000
6-zT4FujSbo, 0.000, 7.000
617LMnMm9FA, 30.000, 40.000
61GCIbjGF1U, 30.000, 40.000
62PYHTN-25E, 30.000, 40.000
63GTDlmz1Ag, 30.000, 40.000
63XoGYFUzkM, 30.000, 40.000
63cUu_yjZck, 16.000, 26.000
64T2MnencUY, 30.000, 40.000
64hkbU76XAk, 30.000, 40.000
653pBegX3_U, 30.000, 40.000
65OesUDseSo, 30.000, 40.000
65pRm6njJpM, 30.000, 40.000
66DfUfJEH1w, 30.000, 40.000
66cUgRJThiw, 13.000, 23.000
66heyEPj1WE, 5.000, 15.000
66ou6nJPdrk, 30.000, 40.000
67RwEkU_CZA, 12.000, 22.000
68BzgxAFReI, 28.000, 38.000
69b8X7jqjXQ, 30.000, 40.000
6AVUNt_Id6I, 120.000, 130.000
6AwwhtpYn6A, 80.000, 90.000
6Caft-Vel14, 30.000, 40.000
6D7WAQa0Dac, 22.000, 32.000
6DpmQSY6H54, 30.000, 40.000
6E0LhMYZg4o, 30.000, 40.000
6E4FAcqr3OQ, 0.000, 7.000
6EVZOE2sSYM, 110.000, 120.000
6EgStRTwtiY, 6.000, 16.000
6F2Hju9hBM0, 30.000, 40.000
6F9yEqnd6cs, 30.000, 40.000
6FtwZp-UG7g, 30.000, 40.000
6G11Ve9d1MQ, 30.000, 40.000
6JUEmTw5Z08, 0.000, 10.000
6JcJhrfAjo8, 27.000, 37.000
6JqFUgEPnU4, 30.000, 40.000
6JyHw_Clffw, 0.000, 2.000
6KfVkmQ-eSg, 1.000, 11.000
6LTrU6Q6FXA, 30.000, 40.000
6MFK0xxq0Es, 30.000, 40.000
6MJvwfDGiKA, 30.000, 40.000
6N0jmHF5CQk, 3.000, 13.000
6N64dqePYBg, 30.000, 40.000
6OLmkERXVnQ, 30.000, 40.000
6P6NHPPwu2U, 30.000, 40.000
6PO_lPkV9gM, 40.000, 50.000
6PYRDRMVH5U, 30.000, 40.000
6PfhkbxHMnc, 30.000, 40.000
6Pp3N1pbw14, 0.000, 9.000
6QpVyMw0JNs, 16.000, 26.000
6RUAMHnoO_k, 30.000, 40.000
6Rn4wxb6sbk, 0.000, 10.000
6SV0upVsyQg, 16.000, 26.000
